word,normalized_word,rank,priority_score,original_rank,ngsl_rank,supplement_category,oxford_list,oxford_level,nawl_rank,tsl_rank,bsl_rank,sources,notes
other,other,54,30.832303,54,54,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
out,out,55,30.774492,55,55,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
good,good,56,30.717723,56,56,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
well,well,57,30.698277,61,61,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000;oxford5000,
people,people,58,30.661959,57,57,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
year,year,59,30.607164,58,58,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
take,take,60,30.553306,59,59,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
just,just,61,30.547019,64,64,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000;oxford5000,
no,no,62,30.500354,60,60,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
because,because,63,30.397046,62,62,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
very,very,64,30.346636,63,63,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
come,come,65,30.248171,65,65,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
could,could,66,30.200069,66,66,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
work,work,67,30.152691,67,67,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
use,use,68,30.106015,68,68,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
than,than,69,30.060020,69,69,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
now,now,70,30.014687,70,70,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
then,then,71,29.969996,71,71,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
also,also,72,29.925931,72,72,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
into,into,73,29.882474,73,73,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
only,only,74,29.839608,74,74,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
look,look,75,29.758923,76,75,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
want,want,76,29.717695,77,76,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
give,give,77,29.676999,78,77,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
first,first,78,29.636822,79,78,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
new,new,79,29.597151,80,79,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
way,way,80,29.557973,81,80,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
May,may,81,29.557180,98,97,calendar_month,oxford3000,a1,,,,ngsl_1.2_core;ngsl_1.2_supplement;ngsl_sfi_31k;oxford3000,NGSL supplementary headword without SFI rank
find,find,82,29.519276,82,81,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
