word,normalized_word,rank,priority_score,original_rank,ngsl_rank,supplement_category,oxford_list,oxford_level,nawl_rank,tsl_rank,bsl_rank,sources,notes
advert,advert,6497,5.010532,5546,,,,,,,,ngsl_sfi_31k,
telecom,telecom,6498,5.009019,8648,,,,,,,182,bsl_1.2;ngsl_sfi_31k,
showroom,showroom,6499,5.008801,8793,,,,,,376,,ngsl_sfi_31k;tsl_1.2,
ignorant,ignorant,6500,5.007920,5551,,,,,,,,ngsl_sfi_31k,
chancellor,chancellor,6501,5.007794,8579,,,,,,,273,bsl_1.2;ngsl_sfi_31k,
gasp,gasp,6502,5.007397,5552,,,,,,,,ngsl_sfi_31k,
lick,lick,6503,5.006875,5553,,,,,,,,ngsl_sfi_31k,
millimeter,millimeter,6504,5.006417,9170,,,,,919,,,nawl_1.2;ngsl_sfi_31k,
poise,poise,6505,5.005832,5555,,,,,,,,ngsl_sfi_31k,
wedge,wedge,6506,5.005310,5556,,,,,,,,ngsl_sfi_31k,
narrator,narrator,6507,5.003745,5559,,,,,,,,ngsl_sfi_31k,
cheaply,cheaply,6508,5.003241,8296,,,,,,,1477,bsl_1.2;ngsl_sfi_31k,
perch,perch,6509,5.003224,5560,,,,,,,,ngsl_sfi_31k,
empowerment,empowerment,6510,5.003116,8278,,,,,,,1643,bsl_1.2;ngsl_sfi_31k,
smoker,smoker,6511,5.002181,5562,,,,,,,,ngsl_sfi_31k,
china,china,6512,5.001660,5563,,,,,,,,ngsl_sfi_31k,
uneasy,uneasy,6513,5.000097,5566,,,,,,,,ngsl_sfi_31k,
thunder,thunder,6514,4.998015,5570,,,,,,,,ngsl_sfi_31k,
wildly,wildly,6515,4.997494,5571,,,,,,,,ngsl_sfi_31k,
gown,gown,6516,4.995934,5574,,,,,,,,ngsl_sfi_31k,
scanner,scanner,6517,4.995414,5575,,,,,,,,ngsl_sfi_31k,
continuation,continuation,6518,4.994894,5576,,,,,,,,ngsl_sfi_31k,
evangelical,evangelical,6519,4.993335,5579,,,,,,,,ngsl_sfi_31k,
unspecified,unspecified,6520,4.993078,8745,,,,,,590,,ngsl_sfi_31k;tsl_1.2,
dome,dome,6521,4.991257,5583,,,,,,,,ngsl_sfi_31k,
temperament,temperament,6522,4.990738,5584,,,,,,,,ngsl_sfi_31k,
hay,hay,6523,4.989700,5586,,,,,,,,ngsl_sfi_31k,
rim,rim,6524,4.988662,5588,,,,,,,,ngsl_sfi_31k,
scoop,scoop,6525,4.988144,5589,,,,,,,,ngsl_sfi_31k,
footstep,footstep,6526,4.987625,5590,,,,,,,,ngsl_sfi_31k,
gosh,gosh,6527,4.987107,5591,,,,,,,,ngsl_sfi_31k,
sour,sour,6528,4.986070,5593,,,,,,,,ngsl_sfi_31k,
villa,villa,6529,4.985552,5594,,,,,,,,ngsl_sfi_31k,
wicked,wicked,6530,4.985033,5595,,,,,,,,ngsl_sfi_31k,
facial,facial,6531,4.983480,5598,,,,,,,,ngsl_sfi_31k,
lastly,lastly,6532,4.982444,5600,,,,,,,,ngsl_sfi_31k,
conditioner,conditioner,6533,4.980319,8894,,,,,,352,,ngsl_sfi_31k;tsl_1.2,
morally,morally,6534,4.979857,5605,,,,,,,,ngsl_sfi_31k,
blah,blah,6535,4.979340,5606,,,,,,,,ngsl_sfi_31k,
bloke,bloke,6536,4.978823,5607,,,,,,,,ngsl_sfi_31k,
fearful,fearful,6537,4.977789,5609,,,,,,,,ngsl_sfi_31k,
reproductive,reproductive,6538,4.976756,5611,,,,,,,,ngsl_sfi_31k,
giggle,giggle,6539,4.975723,5613,,,,,,,,ngsl_sfi_31k,
fetus,fetus,6540,4.974690,5615,,,,,,,,ngsl_sfi_31k,
sorrow,sorrow,6541,4.973658,5617,,,,,,,,ngsl_sfi_31k,
soda,soda,6542,4.972626,5619,,,,,,,,ngsl_sfi_31k,
harness,harness,6543,4.972110,5620,,,,,,,,ngsl_sfi_31k,
sprawl,sprawl,6544,4.971594,5621,,,,,,,,ngsl_sfi_31k,
gateway,gateway,6545,4.971079,5622,,,,,,,,ngsl_sfi_31k,
envisage,envisage,6546,4.970048,5624,,,,,,,,ngsl_sfi_31k,
auditorium,auditorium,6547,4.969187,8846,,,,,,516,,ngsl_sfi_31k;tsl_1.2,
scholarly,scholarly,6548,4.969017,5626,,,,,,,,ngsl_sfi_31k,
nun,nun,6549,4.967987,5628,,,,,,,,ngsl_sfi_31k,
descendant,descendant,6550,4.967472,5629,,,,,,,,ngsl_sfi_31k,
soluble,soluble,6551,4.965953,9361,,,,,737,,,nawl_1.2;ngsl_sfi_31k,
cowboy,cowboy,6552,4.965927,5632,,,,,,,,ngsl_sfi_31k,
rot,rot,6553,4.965412,5633,,,,,,,,ngsl_sfi_31k,
dinosaur,dinosaur,6554,4.964898,5634,,,,,,,,ngsl_sfi_31k,
foreman,foreman,6555,4.964571,8775,,,,,,769,,ngsl_sfi_31k;tsl_1.2,
prestige,prestige,6556,4.963355,5637,,,,,,,,ngsl_sfi_31k,
guardian,guardian,6557,4.962841,5638,,,,,,,,ngsl_sfi_31k,
expel,expel,6558,4.961299,5641,,,,,,,,ngsl_sfi_31k,
populate,populate,6559,4.959757,5644,,,,,,,,ngsl_sfi_31k,
redundant,redundant,6560,4.958217,5647,,,,,,,,ngsl_sfi_31k,
heroin,heroin,6561,4.957704,5648,,,,,,,,ngsl_sfi_31k,
socialism,socialism,6562,4.956164,5651,,,,,,,,ngsl_sfi_31k,
frank,frank,6563,4.955652,5652,,,,,,,,ngsl_sfi_31k,
systematically,systematically,6564,4.954626,5654,,,,,,,,ngsl_sfi_31k,
fairy,fairy,6565,4.954113,5655,,,,,,,,ngsl_sfi_31k,
populist,populist,6566,4.952383,8515,,,,,,,981,bsl_1.2;ngsl_sfi_31k,
severity,severity,6567,4.952064,5659,,,,,,,,ngsl_sfi_31k,
sanctuary,sanctuary,6568,4.951551,5660,,,,,,,,ngsl_sfi_31k,
submarine,submarine,6569,4.951039,5661,,,,,,,,ngsl_sfi_31k,
lapse,lapse,6570,4.950527,5662,,,,,,,,ngsl_sfi_31k,
mutter,mutter,6571,4.950015,5663,,,,,,,,ngsl_sfi_31k,
legislator,legislator,6572,4.949504,5664,,,,,,,,ngsl_sfi_31k,
versa,versa,6573,4.948992,5665,,,,,,,,ngsl_sfi_31k,
bacon,bacon,6574,4.948480,5666,,,,,,,,ngsl_sfi_31k,
gratitude,gratitude,6575,4.945923,5671,,,,,,,,ngsl_sfi_31k,
ranch,ranch,6576,4.945412,5672,,,,,,,,ngsl_sfi_31k,
enlargement,enlargement,6577,4.945147,8512,,,,,,,1125,bsl_1.2;ngsl_sfi_31k,
thankful,thankful,6578,4.944390,5674,,,,,,,,ngsl_sfi_31k,
aloud,aloud,6579,4.943369,5676,,,,,,,,ngsl_sfi_31k,
foam,foam,6580,4.942858,5677,,,,,,,,ngsl_sfi_31k,
overthrow,overthrow,6581,4.941837,5679,,,,,,,,ngsl_sfi_31k,
acoustic,acoustic,6582,4.941327,5680,,,,,,,,ngsl_sfi_31k,
obligate,obligate,6583,4.941192,8760,,,,,,1152,,ngsl_sfi_31k;tsl_1.2,
quarry,quarry,6584,4.940306,5682,,,,,,,,ngsl_sfi_31k,
cigar,cigar,6585,4.939796,5683,,,,,,,,ngsl_sfi_31k,
flatter,flatter,6586,4.938776,5685,,,,,,,,ngsl_sfi_31k,
outrageous,outrageous,6587,4.938266,5686,,,,,,,,ngsl_sfi_31k,
crow,crow,6588,4.937247,5688,,,,,,,,ngsl_sfi_31k,
syllabus,syllabus,6589,4.936824,9400,,,,,896,,,nawl_1.2;ngsl_sfi_31k,
shiver,shiver,6590,4.936737,5689,,,,,,,,ngsl_sfi_31k,
alley,alley,6591,4.935718,5691,,,,,,,,ngsl_sfi_31k,
abundant,abundant,6592,4.933173,5696,,,,,,,,ngsl_sfi_31k,
masterpiece,masterpiece,6593,4.931646,5699,,,,,,,,ngsl_sfi_31k,
mummy,mummy,6594,4.931138,5700,,,,,,,,ngsl_sfi_31k,
reimburse,reimburse,6595,4.930929,9033,,,,,,375,,ngsl_sfi_31k;tsl_1.2,
gospel,gospel,6596,4.930121,5702,,,,,,,,ngsl_sfi_31k,
regiment,regiment,6597,4.929613,5703,,,,,,,,ngsl_sfi_31k,
campsite,campsite,6598,4.929104,5704,,,,,,,,ngsl_sfi_31k,
imitation,imitation,6599,4.928596,5705,,,,,,,,ngsl_sfi_31k,
fortnight,fortnight,6600,4.927580,5707,,,,,,,,ngsl_sfi_31k,
upside,upside,6601,4.925549,5711,,,,,,,,ngsl_sfi_31k,
carton,carton,6602,4.925184,8899,,,,,,755,,ngsl_sfi_31k;tsl_1.2,
comparatively,comparatively,6603,4.925042,5712,,,,,,,,ngsl_sfi_31k,
believer,believer,6604,4.924534,5713,,,,,,,,ngsl_sfi_31k,
annum,annum,6605,4.923258,8520,,,,,,,1546,bsl_1.2;ngsl_sfi_31k,
wartime,wartime,6606,4.922505,5717,,,,,,,,ngsl_sfi_31k,
moan,moan,6607,4.921998,5718,,,,,,,,ngsl_sfi_31k,
porch,porch,6608,4.921491,5719,,,,,,,,ngsl_sfi_31k,
gravel,gravel,6609,4.920985,5720,,,,,,,,ngsl_sfi_31k,
overstate,overstate,6610,4.920579,8546,,,,,,,1396,bsl_1.2;ngsl_sfi_31k,
clout,clout,6611,4.920029,8537,,,,,,,1482,bsl_1.2;ngsl_sfi_31k,
cuisine,cuisine,6612,4.918958,5724,,,,,,,,ngsl_sfi_31k,
trench,trench,6613,4.917946,5726,,,,,,,,ngsl_sfi_31k,
mimic,mimic,6614,4.915921,5730,,,,,,,,ngsl_sfi_31k,
manifestation,manifestation,6615,4.915416,5731,,,,,,,,ngsl_sfi_31k,
stool,stool,6616,4.914910,5732,,,,,,,,ngsl_sfi_31k,
menace,menace,6617,4.914404,5733,,,,,,,,ngsl_sfi_31k,
watershed,watershed,6618,4.912593,9487,,,,,871,,,nawl_1.2;ngsl_sfi_31k,
cellar,cellar,6619,4.910362,5741,,,,,,,,ngsl_sfi_31k,
thriller,thriller,6620,4.909857,5742,,,,,,,,ngsl_sfi_31k,
moor,moor,6621,4.909352,5743,,,,,,,,ngsl_sfi_31k,
flatten,flatten,6622,4.908343,5745,,,,,,,,ngsl_sfi_31k,
radically,radically,6623,4.907334,5747,,,,,,,,ngsl_sfi_31k,
handout,handout,6624,4.906502,9483,,,,,947,,,nawl_1.2;ngsl_sfi_31k,
volcano,volcano,6625,4.904309,5753,,,,,,,,ngsl_sfi_31k,
shuffle,shuffle,6626,4.903805,5754,,,,,,,,ngsl_sfi_31k,
ledger,ledger,6627,4.902408,8926,,,,,,,233,bsl_1.2;ngsl_sfi_31k,
responsive,responsive,6628,4.901791,5758,,,,,,,,ngsl_sfi_31k,
mist,mist,6629,4.901288,5759,,,,,,,,ngsl_sfi_31k,
unreasonable,unreasonable,6630,4.900784,5760,,,,,,,,ngsl_sfi_31k,
conversely,conversely,6631,4.900281,5761,,,,,,,,ngsl_sfi_31k,
knight,knight,6632,4.898269,5765,,,,,,,,ngsl_sfi_31k,
veil,veil,6633,4.897766,5766,,,,,,,,ngsl_sfi_31k,
socket,socket,6634,4.897264,5767,,,,,,,,ngsl_sfi_31k,
secretly,secretly,6635,4.896259,5769,,,,,,,,ngsl_sfi_31k,
homemade,homemade,6636,4.895773,8886,,,,,,1220,,ngsl_sfi_31k;tsl_1.2,
cripple,cripple,6637,4.895756,5770,,,,,,,,ngsl_sfi_31k,
locality,locality,6638,4.893747,5774,,,,,,,,ngsl_sfi_31k,
omission,omission,6639,4.893245,5775,,,,,,,,ngsl_sfi_31k,
swamp,swamp,6640,4.892242,5777,,,,,,,,ngsl_sfi_31k,
physic,physic,6641,4.891740,5778,,,,,,,,ngsl_sfi_31k,
annualize,annualize,6642,4.890837,8651,,,,,,,1271,bsl_1.2;ngsl_sfi_31k,
dusty,dusty,6643,4.890737,5780,,,,,,,,ngsl_sfi_31k,
harden,harden,6644,4.890235,5781,,,,,,,,ngsl_sfi_31k,
puppy,puppy,6645,4.889734,5782,,,,,,,,ngsl_sfi_31k,
mentality,mentality,6646,4.889233,5783,,,,,,,,ngsl_sfi_31k,
zip,zip,6647,4.888731,5784,,,,,,,,ngsl_sfi_31k,
inaudible,inaudible,6648,4.888230,5785,,,,,,,,ngsl_sfi_31k,
unsuccessful,unsuccessful,6649,4.887228,5787,,,,,,,,ngsl_sfi_31k,
superficial,superficial,6650,4.885726,5790,,,,,,,,ngsl_sfi_31k,
pierce,pierce,6651,4.885225,5791,,,,,,,,ngsl_sfi_31k,
thunderstorm,thunderstorm,6652,4.884997,8973,,,,,,951,,ngsl_sfi_31k;tsl_1.2,
monastery,monastery,6653,4.884725,5792,,,,,,,,ngsl_sfi_31k,
runway,runway,6654,4.884224,5793,,,,,,,,ngsl_sfi_31k,
motorway,motorway,6655,4.883724,5794,,,,,,,,ngsl_sfi_31k,
interrogation,interrogation,6656,4.880724,5800,,,,,,,,ngsl_sfi_31k,
outward,outward,6657,4.879724,5802,,,,,,,,ngsl_sfi_31k,
enlighten,enlighten,6658,4.878226,5805,,,,,,,,ngsl_sfi_31k,
cramp,cramp,6659,4.877727,5806,,,,,,,,ngsl_sfi_31k,
cane,cane,6660,4.877227,5807,,,,,,,,ngsl_sfi_31k,
sandy,sandy,6661,4.876229,5809,,,,,,,,ngsl_sfi_31k,
jumper,jumper,6662,4.875730,5810,,,,,,,,ngsl_sfi_31k,
madness,madness,6663,4.875231,5811,,,,,,,,ngsl_sfi_31k,
fume,fume,6664,4.874733,5812,,,,,,,,ngsl_sfi_31k,
donut,donut,6665,4.874445,8969,,,,,,1126,,ngsl_sfi_31k;tsl_1.2,
abnormal,abnormal,6666,4.874234,5813,,,,,,,,ngsl_sfi_31k,
clearance,clearance,6667,4.873735,5814,,,,,,,,ngsl_sfi_31k,
potent,potent,6668,4.873237,5815,,,,,,,,ngsl_sfi_31k,
mistress,mistress,6669,4.872240,5817,,,,,,,,ngsl_sfi_31k,
jerk,jerk,6670,4.871742,5818,,,,,,,,ngsl_sfi_31k,
hesitant,hesitant,6671,4.871475,9046,,,,,,825,,ngsl_sfi_31k;tsl_1.2,
maturation,maturation,6672,4.870247,5821,,,,,,,,ngsl_sfi_31k,
dazzle,dazzle,6673,4.869749,5822,,,,,,,,ngsl_sfi_31k,
steroid,steroid,6674,4.869252,5823,,,,,,,,ngsl_sfi_31k,
occupational,occupational,6675,4.868754,5824,,,,,,,,ngsl_sfi_31k,
rethink,rethink,6676,4.867261,5827,,,,,,,,ngsl_sfi_31k,
revolve,revolve,6677,4.866764,5828,,,,,,,,ngsl_sfi_31k,
paradise,paradise,6678,4.866266,5829,,,,,,,,ngsl_sfi_31k,
luxurious,luxurious,6679,4.865769,5830,,,,,,,,ngsl_sfi_31k,
chick,chick,6680,4.865272,5831,,,,,,,,ngsl_sfi_31k,
overweight,overweight,6681,4.864775,5832,,,,,,,,ngsl_sfi_31k,
comedian,comedian,6682,4.864278,5833,,,,,,,,ngsl_sfi_31k,
noticeable,noticeable,6683,4.863781,5834,,,,,,,,ngsl_sfi_31k,
bait,bait,6684,4.862291,5837,,,,,,,,ngsl_sfi_31k,
bleak,bleak,6685,4.861794,5838,,,,,,,,ngsl_sfi_31k,
straighten,straighten,6686,4.860801,5840,,,,,,,,ngsl_sfi_31k,
poetic,poetic,6687,4.859809,5842,,,,,,,,ngsl_sfi_31k,
trans,trans,6688,4.859526,9743,,,,,661,,,nawl_1.2;ngsl_sfi_31k,
overtake,overtake,6689,4.859313,5843,,,,,,,,ngsl_sfi_31k,
implicate,implicate,6690,4.858816,5844,,,,,,,,ngsl_sfi_31k,
extraordinarily,extraordinarily,6691,4.857825,5846,,,,,,,,ngsl_sfi_31k,
refrain,refrain,6692,4.857329,5847,,,,,,,,ngsl_sfi_31k,
coworker,coworker,6693,4.857022,9605,,,,,,85,,ngsl_sfi_31k;tsl_1.2,
needless,needless,6694,4.856833,5848,,,,,,,,ngsl_sfi_31k,
marital,marital,6695,4.855842,5850,,,,,,,,ngsl_sfi_31k,
coffin,coffin,6696,4.855346,5851,,,,,,,,ngsl_sfi_31k,
glaze,glaze,6697,4.854356,5853,,,,,,,,ngsl_sfi_31k,
exceptionally,exceptionally,6698,4.853861,5854,,,,,,,,ngsl_sfi_31k,
archaeologist,archaeologist,6699,4.851881,5858,,,,,,,,ngsl_sfi_31k,
standpoint,standpoint,6700,4.851386,5859,,,,,,,,ngsl_sfi_31k,
pickup,pickup,6701,4.850891,5860,,,,,,,,ngsl_sfi_31k,
ozone,ozone,6702,4.850396,5861,,,,,,,,ngsl_sfi_31k,
puff,puff,6703,4.849407,5863,,,,,,,,ngsl_sfi_31k,
uncommon,uncommon,6704,4.848419,5865,,,,,,,,ngsl_sfi_31k,
pudding,pudding,6705,4.845949,5870,,,,,,,,ngsl_sfi_31k,
souvenir,souvenir,6706,4.845455,5871,,,,,,,,ngsl_sfi_31k,
broom,broom,6707,4.845353,9063,,,,,,1108,,ngsl_sfi_31k;tsl_1.2,
prostitute,prostitute,6708,4.844961,5872,,,,,,,,ngsl_sfi_31k,
ace,ace,6709,4.842494,5877,,,,,,,,ngsl_sfi_31k,
thy,thy,6710,4.841508,5879,,,,,,,,ngsl_sfi_31k,
voltage,voltage,6711,4.841015,5880,,,,,,,,ngsl_sfi_31k,
tab,tab,6712,4.840029,5882,,,,,,,,ngsl_sfi_31k,
oddly,oddly,6713,4.839536,5883,,,,,,,,ngsl_sfi_31k,
moisture,moisture,6714,4.839043,5884,,,,,,,,ngsl_sfi_31k,
stump,stump,6715,4.838551,5885,,,,,,,,ngsl_sfi_31k,
font,font,6716,4.837566,5887,,,,,,,,ngsl_sfi_31k,
hack,hack,6717,4.836089,5890,,,,,,,,ngsl_sfi_31k,
groove,groove,6718,4.835597,5891,,,,,,,,ngsl_sfi_31k,
paramilitary,paramilitary,6719,4.835043,8777,,,,,,,1600,bsl_1.2;ngsl_sfi_31k,
dismay,dismay,6720,4.834613,5893,,,,,,,,ngsl_sfi_31k,
autism,autism,6721,4.834121,5894,,,,,,,,ngsl_sfi_31k,
interruption,interruption,6722,4.832646,5897,,,,,,,,ngsl_sfi_31k,
fireplace,fireplace,6723,4.832154,5898,,,,,,,,ngsl_sfi_31k,
gleam,gleam,6724,4.831663,5899,,,,,,,,ngsl_sfi_31k,
randomize,randomize,6725,4.831451,9991,,,,,396,,,nawl_1.2;ngsl_sfi_31k,
fertile,fertile,6726,4.830189,5902,,,,,,,,ngsl_sfi_31k,
stimulation,stimulation,6727,4.829207,5904,,,,,,,,ngsl_sfi_31k,
corrective,corrective,6728,4.828765,8787,,,,,,,1681,bsl_1.2;ngsl_sfi_31k,
equivalence,equivalence,6729,4.828687,10031,,,,,358,,,nawl_1.2;ngsl_sfi_31k,
disappearance,disappearance,6730,4.827735,5907,,,,,,,,ngsl_sfi_31k,
adulthood,adulthood,6731,4.826753,5909,,,,,,,,ngsl_sfi_31k,
headphone,headphone,6732,4.826402,9148,,,,,,987,,ngsl_sfi_31k;tsl_1.2,
cherry,cherry,6733,4.826263,5910,,,,,,,,ngsl_sfi_31k,
therapeutic,therapeutic,6734,4.825772,5911,,,,,,,,ngsl_sfi_31k,
ballroom,ballroom,6735,4.825526,9126,,,,,,1104,,ngsl_sfi_31k;tsl_1.2,
wee,wee,6736,4.824301,5914,,,,,,,,ngsl_sfi_31k,
unwanted,unwanted,6737,4.823321,5916,,,,,,,,ngsl_sfi_31k,
dart,dart,6738,4.822831,5917,,,,,,,,ngsl_sfi_31k,
unfavorable,unfavorable,6739,4.821143,8828,,,,,,,1525,bsl_1.2;ngsl_sfi_31k,
odor,odor,6740,4.820872,5921,,,,,,,,ngsl_sfi_31k,
taker,taker,6741,4.820151,9426,,,,,,313,,ngsl_sfi_31k;tsl_1.2,
tout,tout,6742,4.819404,5924,,,,,,,,ngsl_sfi_31k,
recollection,recollection,6743,4.818426,5926,,,,,,,,ngsl_sfi_31k,
genome,genome,6744,4.817937,5927,,,,,,,,ngsl_sfi_31k,
outskirt,outskirt,6745,4.817448,5928,,,,,,,,ngsl_sfi_31k,
misplace,misplace,6746,4.816734,9329,,,,,,504,,ngsl_sfi_31k;tsl_1.2,
blond,blond,6747,4.816470,5930,,,,,,,,ngsl_sfi_31k,
distinctly,distinctly,6748,4.815004,5933,,,,,,,,ngsl_sfi_31k,
discomfort,discomfort,6749,4.814515,5934,,,,,,,,ngsl_sfi_31k,
nightclub,nightclub,6750,4.812562,5938,,,,,,,,ngsl_sfi_31k,
vault,vault,6751,4.812074,5939,,,,,,,,ngsl_sfi_31k,
rivalry,rivalry,6752,4.811098,5941,,,,,,,,ngsl_sfi_31k,
insulin,insulin,6753,4.810610,5942,,,,,,,,ngsl_sfi_31k,
helpless,helpless,6754,4.809147,5945,,,,,,,,ngsl_sfi_31k,
traumatic,traumatic,6755,4.808659,5946,,,,,,,,ngsl_sfi_31k,
cartel,cartel,6756,4.807189,8935,,,,,,,1077,bsl_1.2;ngsl_sfi_31k,
ti,ti,6757,4.805735,5952,,,,,,,,ngsl_sfi_31k,
ripple,ripple,6758,4.805249,5953,,,,,,,,ngsl_sfi_31k,
aerial,aerial,6759,4.804275,5955,,,,,,,,ngsl_sfi_31k,
intangible,intangible,6760,4.804247,9168,,,,,,,328,bsl_1.2;ngsl_sfi_31k,
colonel,colonel,6761,4.803788,5956,,,,,,,,ngsl_sfi_31k,
acknowledgement,acknowledgement,6762,4.800383,5963,,,,,,,,ngsl_sfi_31k,
complementary,complementary,6763,4.799411,5965,,,,,,,,ngsl_sfi_31k,
perfection,perfection,6764,4.798925,5966,,,,,,,,ngsl_sfi_31k,
ponder,ponder,6765,4.798439,5967,,,,,,,,ngsl_sfi_31k,
blossom,blossom,6766,4.797954,5968,,,,,,,,ngsl_sfi_31k,
stationary,stationary,6767,4.796982,5970,,,,,,,,ngsl_sfi_31k,
discern,discern,6768,4.796497,5971,,,,,,,,ngsl_sfi_31k,
axiom,axiom,6769,4.795468,9969,,,,,643,,,nawl_1.2;ngsl_sfi_31k,
deliberation,deliberation,6770,4.794556,5975,,,,,,,,ngsl_sfi_31k,
puppet,puppet,6771,4.794071,5976,,,,,,,,ngsl_sfi_31k,
prohibition,prohibition,6772,4.793586,5977,,,,,,,,ngsl_sfi_31k,
ham,ham,6773,4.791162,5982,,,,,,,,ngsl_sfi_31k,
prevalent,prevalent,6774,4.790677,5983,,,,,,,,ngsl_sfi_31k,
shepherd,shepherd,6775,4.789224,5986,,,,,,,,ngsl_sfi_31k,
incapable,incapable,6776,4.787288,5990,,,,,,,,ngsl_sfi_31k,
destine,destine,6777,4.786804,5991,,,,,,,,ngsl_sfi_31k,
oneself,oneself,6778,4.786320,5992,,,,,,,,ngsl_sfi_31k,
devotion,devotion,6779,4.785836,5993,,,,,,,,ngsl_sfi_31k,
optimization,optimization,6780,4.785668,9081,,,,,,,706,bsl_1.2;ngsl_sfi_31k,
sheriff,sheriff,6781,4.785353,5994,,,,,,,,ngsl_sfi_31k,
hillside,hillside,6782,4.784386,5996,,,,,,,,ngsl_sfi_31k,
entitlement,entitlement,6783,4.783419,5998,,,,,,,,ngsl_sfi_31k,
compress,compress,6784,4.782936,5999,,,,,,,,ngsl_sfi_31k,
physicist,physicist,6785,4.782452,6000,,,,,,,,ngsl_sfi_31k,
eldest,eldest,6786,4.781969,6001,,,,,,,,ngsl_sfi_31k,
tangle,tangle,6787,4.781486,6002,,,,,,,,ngsl_sfi_31k,
skepticism,skepticism,6788,4.781003,6003,,,,,,,,ngsl_sfi_31k,
humiliate,humiliate,6789,4.780521,6004,,,,,,,,ngsl_sfi_31k,
territorial,territorial,6790,4.779555,6006,,,,,,,,ngsl_sfi_31k,
throne,throne,6791,4.779073,6007,,,,,,,,ngsl_sfi_31k,
theoretically,theoretically,6792,4.777625,6010,,,,,,,,ngsl_sfi_31k,
nuisance,nuisance,6793,4.777143,6011,,,,,,,,ngsl_sfi_31k,
intonation,intonation,6794,4.776840,9390,,,,,,680,,ngsl_sfi_31k;tsl_1.2,
advent,advent,6795,4.776661,6012,,,,,,,,ngsl_sfi_31k,
bustle,bustle,6796,4.775215,6015,,,,,,,,ngsl_sfi_31k,
intimacy,intimacy,6797,4.774251,6017,,,,,,,,ngsl_sfi_31k,
novelty,novelty,6798,4.773769,6018,,,,,,,,ngsl_sfi_31k,
vaguely,vaguely,6799,4.773288,6019,,,,,,,,ngsl_sfi_31k,
stud,stud,6800,4.772806,6020,,,,,,,,ngsl_sfi_31k,
hopeless,hopeless,6801,4.772325,6021,,,,,,,,ngsl_sfi_31k,
modernize,modernize,6802,4.771843,6022,,,,,,,,ngsl_sfi_31k,
butcher,butcher,6803,4.771362,6023,,,,,,,,ngsl_sfi_31k,
siege,siege,6804,4.769918,6026,,,,,,,,ngsl_sfi_31k,
detector,detector,6805,4.769437,6027,,,,,,,,ngsl_sfi_31k,
inning,inning,6806,4.768956,6028,,,,,,,,ngsl_sfi_31k,
profoundly,profoundly,6807,4.768476,6029,,,,,,,,ngsl_sfi_31k,
excavation,excavation,6808,4.767034,6032,,,,,,,,ngsl_sfi_31k,
mare,mare,6809,4.766073,6034,,,,,,,,ngsl_sfi_31k,
reel,reel,6810,4.765112,6036,,,,,,,,ngsl_sfi_31k,
astronomer,astronomer,6811,4.764632,6037,,,,,,,,ngsl_sfi_31k,
cyclist,cyclist,6812,4.761273,6044,,,,,,,,ngsl_sfi_31k,
glitter,glitter,6813,4.760793,6045,,,,,,,,ngsl_sfi_31k,
tabloid,tabloid,6814,4.760314,6046,,,,,,,,ngsl_sfi_31k,
appropriation,appropriation,6815,4.759834,6047,,,,,,,,ngsl_sfi_31k,
tractor,tractor,6816,4.758396,6050,,,,,,,,ngsl_sfi_31k,
commemorate,commemorate,6817,4.757917,6051,,,,,,,,ngsl_sfi_31k,
trumpet,trumpet,6818,4.757438,6052,,,,,,,,ngsl_sfi_31k,
literal,literal,6819,4.756959,6053,,,,,,,,ngsl_sfi_31k,
categorize,categorize,6820,4.756481,6054,,,,,,,,ngsl_sfi_31k,
ramp,ramp,6821,4.755523,6056,,,,,,,,ngsl_sfi_31k,
clergy,clergy,6822,4.754566,6058,,,,,,,,ngsl_sfi_31k,
meadow,meadow,6823,4.754087,6059,,,,,,,,ngsl_sfi_31k,
virgin,virgin,6824,4.753131,6061,,,,,,,,ngsl_sfi_31k,
hamper,hamper,6825,4.752653,6062,,,,,,,,ngsl_sfi_31k,
sermon,sermon,6826,4.751218,6065,,,,,,,,ngsl_sfi_31k,
eve,eve,6827,4.750740,6066,,,,,,,,ngsl_sfi_31k,
supplementary,supplementary,6828,4.750263,6067,,,,,,,,ngsl_sfi_31k,
snowy,snowy,6829,4.750093,9429,,,,,,839,,ngsl_sfi_31k;tsl_1.2,
afterwards,afterwards,6830,4.750000,,,,oxford3000,b2,,,,oxford3000,
armed,armed,6831,4.750000,,,,oxford3000,b2,,,,oxford3000,
arms,arms,6832,4.750000,,,,oxford3000,b2,,,,oxford3000,
associated,associated,6833,4.750000,,,,oxford3000,b2,,,,oxford3000,
being,being,6834,4.750000,,,,oxford3000,b2,,,,oxford3000,
bent,bent,6835,4.750000,,,,oxford3000,b2,,,,oxford3000,
complicated,complicated,6836,4.750000,,,,oxford3000,b2,,,,oxford3000,
concerned,concerned,6837,4.750000,,,,oxford3000,b2,,,,oxford3000,
confusing,confusing,6838,4.750000,,,,oxford3000,b2,,,,oxford3000,
convinced,convinced,6839,4.750000,,,,oxford3000,b2,,,,oxford3000,
criterion,criterion,6840,4.750000,,,,oxford3000,b2,,,,oxford3000,
curved,curved,6841,4.750000,,,,oxford3000,b2,,,,oxford3000,
defence,defence,6842,4.750000,,,,oxford3000,b2,,,,oxford3000,
