Word,TSL Rank,SFI,U
complimentary,231,55.74,37.51
hike,232,55.74,37.51
midnight,233,55.74,37.51
productivity,234,55.74,37.51
rainy,235,55.74,37.51
relocate,236,55.74,37.51
trainee,237,55.74,37.51
transaction,238,55.74,37.51
unhappy,239,55.74,37.51
verify,240,55.74,37.51
automobile,241,55.66,36.77
courier,242,55.66,36.77
incomplete,243,55.66,36.77
questionnaire,244,55.66,36.77
baseball,245,55.57,36.04
dock,246,55.57,36.04
lamp,247,55.57,36.04
lately,248,55.57,36.04
machinery,249,55.57,36.04
presenter,250,55.57,36.04
seldom,251,55.57,36.04
signature,252,55.57,36.04
worldwide,253,55.66,36.77
carrier,254,55.48,35.3
designate,255,55.48,35.3
exclusive,256,55.48,35.3
grocery,257,55.48,35.3
homework,258,55.48,35.3
memorandum,259,55.48,35.3
photocopier,260,55.48,35.3
suite,261,55.48,35.3
thorough,262,55.57,36.04
bookstore,263,55.48,35.3
cater,264,55.48,35.3
dental,265,55.39,34.57
duration,266,55.39,34.57
lounge,267,55.39,34.57
painter,268,55.39,34.57
patron,269,55.39,34.57
prescription,270,55.39,34.57
productive,271,55.39,34.57
salad,272,55.39,34.57
stack,273,55.39,34.57
delegate,274,55.29,33.83
salesperson,275,55.29,33.83
calculator,276,55.2,33.1
completion,277,55.2,33.1
defect,278,55.2,33.1
garbage,279,55.2,33.1
omit,280,55.2,33.1
spite,281,55.2,33.1
bathroom,282,55.1,32.36
cab,283,55.1,32.36
correspondence,284,55.1,32.36
ladder,285,55.1,32.36
photography,286,55.1,32.36
sculpture,287,55.1,32.36
anniversary,288,55,31.62
buffet,289,55.1,32.36
defective,290,55,31.62
ice cream,291,55,31.62
leak,292,55,31.62
occupancy,293,55,31.62
proficiency,294,55,31.62
renewal,295,55,31.62
urgent,296,55,31.62
annually,297,54.9,30.89
basketball,298,55,31.62
delete,299,54.9,30.89
illogical,300,54.9,30.89
pet,301,54.9,30.89
textbook,302,#N/A,#N/A
accurately,303,54.79,30.15
cabin,304,54.9,30.89
conductor,305,54.79,30.15
inspector,306,54.79,30.15
intern,307,54.79,30.15
semester,308,#N/A,#N/A
confirmation,309,54.69,29.42
congratulation,310,54.69,29.42
expertise,311,54.69,29.42
graph,312,54.69,29.42
taker,313,54.69,29.42
utility,314,54.69,29.42
voucher,315,54.69,29.42
banker,316,54.58,28.68
behalf,317,54.58,28.68
minimize,318,54.58,28.68
optional,319,54.58,28.68
paycheck,320,54.58,28.68
polite,321,54.58,28.68
protective,322,54.58,28.68
seller,323,54.58,28.68
sidewalk,324,54.58,28.68
sightsee,325,54.58,28.68
soup,326,54.58,28.68
transit,327,54.58,28.68
wallet,328,54.58,28.68
cashier,329,54.46,27.95
casual,330,54.46,27.95
drill,331,54.46,27.95
fountain,332,54.46,27.95
juice,333,54.46,27.95
lane,334,54.46,27.95
popularity,335,54.46,27.95
poster,336,54.46,27.95
promptly,337,54.46,27.95
retailer,338,54.46,27.95
vacancy,339,54.46,27.95
bench,340,54.35,27.21
cumulative,341,54.35,27.21
directory,342,54.35,27.21
disposal,343,54.35,27.21
housekeeper,344,54.35,27.21
internship,345,54.35,27.21
knowledgeable,346,54.35,27.21
organizer,347,54.35,27.21
overdue,348,54.35,27.21
prediction,349,54.35,27.21
subscriber,350,54.35,27.21
booklet,351,54.23,26.48
conditioner,352,54.23,26.48
enroll,353,54.23,26.48
frustrate,354,54.23,26.48
garment,355,54.23,26.48
orientation,356,54.23,26.48
outlet,357,54.23,26.48
packet,358,54.23,26.48
plumber,359,54.23,26.48
specification,360,54.23,26.48
auto,361,54.11,25.74
decorate,362,54.11,25.74
deduction,363,54.11,25.74
definite,364,54.11,25.74
economical,365,54.11,25.74
efficiently,366,54.11,25.74
flyer,367,54.11,25.74
franchise,368,54.11,25.74
generous,369,54.11,25.74
interrupt,370,54.11,25.74
oven,371,54.11,25.74
pant,372,54.11,25.74
profitable,373,54.11,25.74
refrigerator,374,54.11,25.74
reimburse,375,54.11,25.74
showroom,376,54.11,25.74
vegetarian,377,54.11,25.74
administrator,378,53.98,25.01
broker,379,53.98,25.01
cancellation,380,53.98,25.01
confidential,381,53.98,25.01
jet,382,53.98,25.01
realistic,383,53.98,25.01
thoroughly,384,53.98,25.01
trash,385,53.98,25.01
usage,386,53.98,25.01
windy,387,53.98,25.01
automate,388,53.85,24.27
ferry,389,53.85,24.27
finalize,390,53.85,24.27
incur,391,53.85,24.27
instruct,392,53.85,24.27
loyal,393,53.85,24.27
luncheon,394,53.85,24.27
microphone,395,53.85,24.27
overview,396,53.85,24.27
projector,397,53.85,24.27
shortage,398,53.85,24.27
spacious,399,53.85,24.27
accomplishment,400,53.72,23.53
accustom,401,53.72,23.53
clinic,402,53.72,23.53
desktop,403,53.72,23.53
jog,404,53.72,23.53
leisure,405,53.85,24.27
nap,406,53.72,23.53
reinforce,407,53.72,23.53
sender,408,53.72,23.53
vacuum,409,53.72,23.53
wireless,410,53.72,23.53
yearly,411,53.72,23.53
appreciation,412,53.58,22.8
cargo,413,53.58,22.8
cooperate,414,53.58,22.8
distract,415,53.58,22.8
dividend,416,53.58,22.8
exemption,417,53.58,22.8
furnish,418,53.58,22.8
hourly,419,53.58,22.8
laundry,420,53.58,22.8
mandatory,421,53.58,22.8
mechanical,422,53.58,22.8
pharmacy,423,53.58,22.8
promotional,424,53.58,22.8
quarterly,425,53.58,22.8
residential,426,53.72,23.53
scholarship,427,53.58,22.8
seeker,428,53.58,22.8
temporarily,429,53.58,22.8
towel,430,53.58,22.8
unattended,431,53.58,22.8
accessible,432,53.44,22.06
afterward,433,53.44,22.06
apology,434,53.44,22.06
assemble,435,53.44,22.06
automatic,436,53.44,22.06
boardroom,437,53.44,22.06
carpenter,438,53.44,22.06
caterer,439,53.44,22.06
classify,440,53.44,22.06
consultation,441,53.58,22.8
durable,442,53.44,22.06
glove,443,53.44,22.06
hardware,444,53.44,22.06
malfunction,445,53.44,22.06
outdated,446,53.44,22.06
patience,447,53.44,22.06
postcard,448,53.44,22.06
prospective,449,53.44,22.06
revision,450,53.44,22.06
strictly,451,53.44,22.06
tomato,452,53.44,22.06
tray,453,53.44,22.06
vendor,454,53.44,22.06
withdrawal,455,53.44,22.06
anytime,456,53.29,21.33
badge,457,53.29,21.33
brake,458,53.29,21.33
calculation,459,53.29,21.33
coordinator,460,53.29,21.33
costly,461,53.29,21.33
equip,462,53.29,21.33
excursion,463,53.29,21.33
graphic,464,53.29,21.33
inexperience,465,53.44,22.06
lengthy,466,53.29,21.33
librarian,467,53.29,21.33
meantime,468,53.29,21.33
merge,469,53.29,21.33
performer,470,53.29,21.33
pharmacist,471,53.29,21.33
pizza,472,53.29,21.33
resignation,473,53.29,21.33
reviewer,474,53.29,21.33
terminate,475,53.29,21.33
translation,476,53.29,21.33
unfamiliar,477,53.29,21.33
actress,478,53.14,20.59
adjacent,479,53.14,20.59
alternate,480,53.14,20.59
congratulate,481,53.14,20.59
escort,482,53.14,20.59
inexpensive,483,53.14,20.59
mask,484,53.14,20.59
purchaser,485,53.14,20.59
purse,486,53.14,20.59
realtor,487,53.14,20.59
rearrange,488,53.14,20.59
reopen,489,53.14,20.59
soap,490,53.14,20.59
spokesperson,491,53.14,20.59
superior,492,53.14,20.59
airfare,493,52.98,19.86
bake,494,52.98,19.86
businessperson,495,52.98,19.86
considerably,496,52.98,19.86
faulty,497,53.14,20.59
hobby,498,52.98,19.86
informal,499,52.98,19.86
kilometer,500,52.98,19.86
lawn,501,52.98,19.86
microscope,502,52.98,19.86
mislead,503,52.98,19.86
misplace,504,52.98,19.86
newsstand,505,52.98,19.86
overhead,506,52.98,19.86
portfolio,507,52.98,19.86
rack,508,52.98,19.86
remodel,509,52.98,19.86
statistics,510,52.98,19.86
tunnel,511,52.98,19.86
unlimited,512,52.98,19.86
vitamin,513,52.98,19.86
zoo,514,52.98,19.86
alert,515,52.82,19.12
auditorium,516,52.82,19.12
celebrity,517,52.82,19.12
deduct,518,52.82,19.12
disruption,519,52.82,19.12
electrician,520,52.82,19.12
enthusiastic,521,52.82,19.12
graduation,522,52.82,19.12
icy,523,52.82,19.12
irregular,524,52.82,19.12
login,525,52.82,19.12
managerial,526,52.82,19.12
mineral,527,52.82,19.12
motorcycle,528,52.82,19.12
necessity,529,52.82,19.12
planner,530,52.82,19.12
programmer,531,52.82,19.12
proofread,532,52.82,19.12
recruiter,533,52.82,19.12
remainder,534,52.82,19.12
statue,535,52.82,19.12
steadily,536,52.82,19.12
stockholder,537,52.82,19.12
vacant,538,52.82,19.12
accessory,539,52.64,18.39
assembly,540,52.64,18.39
basket,541,52.64,18.39
certification,542,52.64,18.39
closure,543,52.64,18.39
dislike,544,52.64,18.39
downstairs,545,52.64,18.39
expiration,546,52.64,18.39
headache,547,52.64,18.39
jam,548,52.64,18.39
nail,549,52.64,18.39
optimistic,550,52.64,18.39
